,share_name_index,contry,Industry,Market_Cap,P_E,Avg_Volume,EPS_this_Y,EPS_next_Y,rating,Global_Company_Size,Founded,Revenue,Recommend_to_friend,Approve_of_CEO
3059,"HFC [NYSE, S&P 500]",USA,Oil & Gas Refining & Marketing,5.30B,-1,3.19M,-180.80%,611.00%,3.8,1001 to 5000 Employees,1947,$10+ billion (USD),75,86
3064,HGBL [NASD],USA,Capital Markets,90.04M,14.88,63.51K,121.70%,50.76%,3.7,1 to 50 Employees,1996,$1 to $5 million (USD),100,100
3068,HGV [NYSE],USA,Resorts & Casinos,3.61B,8.29,841.09K,-197.40%,138.08%,3.9,5001 to 10000 Employees,1992,$100 to $500 million (USD),77,91
3069,HHC [NYSE],USA,Real Estate - Diversified,5.51B,8.48,208.01K,-129.20%,523.60%,3.4,1001 to 5000 Employees,2010,$500 million to $1 billion (USD),56,89
3071,HI [NYSE],USA,Specialty Industrial Machinery,3.06B,24.85,352.94K,-142.70%,2.04%,3.4,5001 to 10000 Employees,2008,$1 to $2 billion (USD),80,81
3072,HIBB [NASD],USA,Specialty Retail,1.14B,18.14,378.58K,231.20%,-23.30%,3.5,5001 to 10000 Employees,1946,$500 million to $1 billion (USD),69,78
3076,HIFS [NASD],USA,Banks - Regional,612.50M,-1,3.27K,30.40%,0.00%,4.2,51 to 200 Employees,1834,$50 to $100 million (USD),91,89
3077,"HIG [NYSE, S&P 500]",USA,Insurance - Diversified,21.66B,-1,3.48M,895.36%,39.12%,4,10000+ Employees,1810,$10+ billion (USD),78,92
3079,HIHO [NASD],Hong Kong,Metal Fabrication,14.15M,-1,32.80K,205.90%,0.00%,3,1 to 50 Employees,1996,$25 to $50 million (USD),0,100
3080,"HII [NYSE, S&P 500]",USA,Aerospace & Defense,8.33B,12.5,289.39K,29.30%,11.02%,3.6,10000+ Employees,2011,$5 to $10 billion (USD),66,82
3083,HIL [NYSE],USA,Engineering & Construction,140.44M,-1,211.91K,-157.80%,0.00%,4.1,1001 to 5000 Employees,1976,$500 million to $1 billion (USD),74,82
3084,HIMS [NYSE],USA,Household & Personal Products,2.14B,-1,1.62M,895.36%,52.70%,4.4,51 to 200 Employees,2017,$100 to $500 million (USD),89,100
3085,HIMX [NASD],Taiwan,Semiconductors,2.38B,-1,4.35M,444.50%,3.26%,3.4,201 to 500 Employees,1996,$500 million to $1 billion (USD),49,33
3089,HIW [NYSE],USA,REIT - Office,4.73B,-1,702.09K,155.90%,5.90%,3.6,201 to 500 Employees,1978,$500 million to $1 billion (USD),62,100
3094,HL [NYSE],USA,Gold,4.15B,-1,8.82M,83.90%,37.44%,3.5,1001 to 5000 Employees,1996,$500 million to $1 billion (USD),63,55
3098,HLF [NYSE],USA,Packaged Foods,6.08B,221.76,952.97K,26.10%,10.78%,4,5001 to 10000 Employees,1980,$5 to $10 billion (USD),87,98
3099,HLG [NASD],China,Education & Training Services,984.74M,26,3.99K,-26.40%,-21.46%,1.5,1001 to 5000 Employees,1996,$100 to $500 million (USD),0,100
3100,HLI [NYSE],USA,Capital Markets,5.15B,16.79,357.79K,62.90%,2.65%,3.9,1001 to 5000 Employees,1972,$1 to $2 billion (USD),74,90
3101,HLIO [NASD],USA,Specialty Industrial Machinery,2.35B,17.59,91.25K,-76.50%,11.96%,3.3,1 to 50 Employees,1996,Less than $1 million (USD),71,100
3102,HLIT [NASD],USA,Communication Equipment,794.37M,43.8,696.98K,895.36%,114.74%,4,1001 to 5000 Employees,1988,$100 to $500 million (USD),77,88
3103,HLNE [NASD],USA,Asset Management,4.59B,19.61,162.07K,31.20%,11.66%,4.1,201 to 500 Employees,1991,$100 to $500 million (USD),63,90
3104,"HLT [NYSE, S&P 500]",USA,Lodging,33.92B,-1,1.89M,-185.00%,113.42%,4.1,10000+ Employees,1919,$10+ billion (USD),82,92
3105,HLX [NYSE],USA,Oil & Gas Equipment & Services,886.36M,19.34,1.85M,-79.00%,29.40%,3,1001 to 5000 Employees,1964,$100 to $500 million (USD),51,11
3109,HMHC [NASD],USA,Education & Training Services,1.30B,30.75,1.43M,-122.10%,46.90%,3.4,1001 to 5000 Employees,1832,$1 to $2 billion (USD),53,72
3110,HMLP [NYSE],Bermuda,Oil & Gas Midstream,573.41M,8.63,174.01K,24.10%,-4.72%,3.8,51 to 200 Employees,1927,$100 to $500 million (USD),73,100
3111,HMN [NYSE],USA,Insurance - Property & Casualty,1.54B,10.16,223.33K,80.10%,300.50%,3.2,1001 to 5000 Employees,1945,$1 to $2 billion (USD),49,60
3112,HMNF [NASD],USA,Banks - Regional,99.24M,10.23,7.40K,31.90%,0.00%,3.5,201 to 500 Employees,1994,$25 to $50 million (USD),77,100
3114,HMPT [NASD],USA,Mortgage Finance,860.81M,7.88,177.47K,-65.70%,-43.82%,2.8,1 to 50 Employees,1996,$5 to $10 million (USD),50,100
3115,HMST [NASD],USA,Banks - Regional,855.92M,-1,154.28K,119.40%,-6.36%,3.6,1001 to 5000 Employees,1921,$100 to $500 million (USD),52,66
3116,HMTV [NASD],USA,Entertainment,455.89M,-1,44.75K,63.60%,-53.18%,4,201 to 500 Employees,1996,$100 to $500 million (USD),100,100
3117,HMY [NYSE],South Africa,Gold,2.50B,-1,5.79M,67.00%,-30.50%,3.1,10000+ Employees,1996,$10+ billion (USD),68,100
3119,HNGR [NYSE],USA,Medical Care Facilities,926.12M,2.59,161.41K,36.80%,14.10%,3.7,1001 to 5000 Employees,1861,$1 to $2 billion (USD),70,87
3120,HNI [NYSE],USA,Business Equipment & Supplies,1.86B,22.9,206.58K,26.30%,18.10%,3.7,5001 to 10000 Employees,1944,$2 to $5 billion (USD),64,75
3122,HNP [NYSE],China,Utilities - Independent Power Producers,8.83B,9.96,31.94K,655.70%,25.68%,3.1,10000+ Employees,1996,$10+ billion (USD),34,100
3123,HNRG [NASD],USA,Thermal Coal,73.34M,-1,308.61K,89.70%,38.46%,3,501 to 1000 Employees,1996,$100 to $500 million (USD),0,0
3124,HNST [NASD],USA,Specialty Retail,1.47B,62.56,2.22M,53.50%,0.00%,3.7,201 to 500 Employees,2012,$100 to $500 million (USD),67,77
3126,HOFT [NASD],USA,"Furnishings, Fixtures & Appliances",427.42M,-1,55.52K,895.36%,1.96%,4,501 to 1000 Employees,1924,$500 million to $1 billion (USD),65,95
3128,HOG [NYSE],USA,Recreational Vehicles,6.61B,-1,2.30M,-99.70%,3.97%,3.6,5001 to 10000 Employees,1903,$2 to $5 billion (USD),58,65
3131,HOLI [NASD],China,Electrical Equipment & Parts,883.54M,-1,307.22K,-36.10%,20.79%,2.1,5001 to 10000 Employees,1996,$100 to $500 million (USD),0,100
3133,"HOLX [NASD, S&P 500]",USA,Medical Instruments & Supplies,15.77B,7.29,2.33M,671.70%,-45.36%,3.9,5001 to 10000 Employees,1985,$2 to $5 billion (USD),72,85
3135,HOME [NYSE],USA,Specialty Retail,2.41B,-1,2.05M,30.70%,12.57%,3.1,1001 to 5000 Employees,1996,$500 million to $1 billion (USD),52,63
3137,"HON [NASD, DJIA, S&P500]",USA,Specialty Industrial Machinery,148.30B,15.04,2.67M,-16.30%,13.51%,3.7,10000+ Employees,1885,$10+ billion (USD),71,81
3138,HONE [NASD],USA,Banks - Regional,785.11M,13.04,265.07K,151.60%,-12.76%,3.8,201 to 500 Employees,1917,$50 to $100 million (USD),72,100
3140,HPP [NYSE],USA,REIT - Office,4.28B,-1,1.17M,895.36%,1100.00%,4,201 to 500 Employees,2006,$100 to $500 million (USD),91,85
3141,"HPQ [NYSE, S&P 500]",USA,Computer Hardware,34.31B,242.76,10.27M,-0.70%,2.52%,4.2,10000+ Employees,1939,$100 to $500 million (USD),87,94
3144,HQI [NASD],USA,Staffing & Employment Services,278.05M,-1,29.51K,999.80%,0.00%,3.6,51 to 200 Employees,1998,$100 to $500 million (USD),64,48
3146,HQY [NASD],USA,Health Information Services,6.41B,4.55,541.49K,-79.90%,17.74%,4.2,1001 to 5000 Employees,2001,$100 to $500 million (USD),86,95
3147,HR [NYSE],USA,REIT - Healthcare Facilities,4.32B,-1,1.01M,80.60%,-2.63%,4.2,201 to 500 Employees,1992,$100 to $500 million (USD),79,100
3148,HRB [NYSE],USA,Personal Services,4.20B,35.19,1.97M,-98.70%,-6.30%,3.7,10000+ Employees,1955,$2 to $5 billion (USD),68,80
3149,HRC [NYSE],USA,Medical Instruments & Supplies,7.47B,-1,357.28K,48.50%,5.40%,3.3,5001 to 10000 Employees,1996,$2 to $5 billion (USD),56,71
3150,HRI [NYSE],USA,Rental & Leasing Services,2.96B,27.64,252.80K,53.60%,19.50%,4.2,201 to 500 Employees,1963,$50 to $100 million (USD),100,100
3151,"HRL [NYSE, S&P 500]",USA,Packaged Foods,25.65B,13.69,2.09M,-7.50%,9.46%,3.8,10000+ Employees,1891,$5 to $10 billion (USD),72,94
3153,HROW [NASD],USA,Drug Manufacturers - Specialty & Generic,231.24M,25,207.19K,169.20%,216.67%,4,1001 to 5000 Employees,1996,$100 to $500 million (USD),62,79
3154,HRTG [NYSE],USA,Insurance - Property & Casualty,236.85M,-1,143.61K,895.36%,54.05%,4,1001 to 5000 Employees,2011,$1 to $2 billion (USD),83,94
3155,HRTX [NASD],USA,Biotechnology,1.50B,9.72,1.69M,0.00%,51.90%,3.3,51 to 200 Employees,1996,$100 to $500 million (USD),61,100
3156,HRZN [NASD],USA,Asset Management,333.43M,23.01,187.50K,5.90%,7.20%,3,1 to 50 Employees,1996,$100 to $500 million (USD),0,100
3158,HSBC [NYSE],United Kingdom,Banks - Diversified,120.51B,-1,1.94M,-34.70%,32.94%,3.7,10000+ Employees,1865,$10+ billion (USD),71,82
3159,HSC [NYSE],USA,Specialty Industrial Machinery,1.64B,5.83,376.57K,-212.20%,29.53%,3.6,10000+ Employees,1850,$2 to $5 billion (USD),60,66
3162,"HSIC [NASD, S&P 500]",USA,Medical Distribution,10.51B,-1,949.68K,895.36%,6.24%,4,10000+ Employees,1932,$5 to $10 billion (USD),83,90
3163,HSII [NASD],USA,Staffing & Employment Services,836.46M,-1,130.56K,-181.50%,22.07%,3.5,1001 to 5000 Employees,1953,$500 million to $1 billion (USD),57,96
3164,HSKA [NASD],USA,Diagnostics & Research,2.41B,24.55,66.01K,-745.80%,700.00%,3.2,201 to 500 Employees,1988,$100 to $500 million (USD),59,70
3165,HSON [NASD],USA,Staffing & Employment Services,47.27M,17.22,6.69K,-58.80%,26.74%,4.2,201 to 500 Employees,1999,$50 to $100 million (USD),82,88
3167,"HST [NASD, S&P 500]",USA,REIT - Hotel & Motel,12.17B,13.37,7.74M,-182.40%,120.30%,3.8,201 to 500 Employees,1985,$5 to $10 billion (USD),55,70
3168,HSTM [NASD],USA,Health Information Services,822.03M,-1,102.49K,0.60%,476.92%,3.6,501 to 1000 Employees,1990,$100 to $500 million (USD),59,88
3169,HSTO [NASD],USA,Biotechnology,41.44M,236.54,1.12M,-133.80%,-26.80%,1,1 to 50 Employees,1996,$100 to $500 million (USD),100,100
3170,"HSY [NYSE, S&P 500]",USA,Confectioners,35.21B,25.39,908.41K,11.90%,5.66%,3.8,10000+ Employees,1894,$5 to $10 billion (USD),72,89
3171,HT [NYSE],USA,REIT - Hotel & Motel,435.16M,23.42,451.35K,-589.50%,53.00%,2.3,1 to 50 Employees,1984,$100 to $500 million (USD),39,53
3172,HTA [NYSE],USA,REIT - Healthcare Facilities,6.17B,-1,1.35M,65.00%,11.55%,3.3,201 to 500 Employees,1996,$100 to $500 million (USD),59,47
3174,HTBI [NASD],USA,Banks - Regional,459.93M,109.61,56.49K,91.50%,300.50%,3.4,501 to 1000 Employees,1926,$25 to $50 million (USD),53,100
3175,HTBK [NASD],USA,Banks - Regional,654.30M,65.76,259.47K,-30.50%,-0.54%,3.7,201 to 500 Employees,1997,$100 to $500 million (USD),72,100
3179,HTGC [NYSE],USA,Mortgage Finance,1.98B,18.71,681.12K,-6.50%,8.50%,3.5,51 to 200 Employees,2003,$100 to $500 million (USD),57,79
3180,HTGM [NASD],USA,Diagnostics & Research,31.38M,-1,106.50K,-40.60%,18.30%,2.4,51 to 200 Employees,1996,$5 to $10 million (USD),30,42
3181,HTH [NYSE],USA,Banks - Regional,2.93B,-1,554.92K,100.50%,-28.58%,3.6,1001 to 5000 Employees,1998,$1 to $2 billion (USD),73,71
3182,HTHT [NASD],China,Lodging,17.86B,6.4,1.21M,895.36%,129.20%,4.7,5001 to 10000 Employees,1996,$100 to $500 million (USD),100,100
3183,HTLD [NASD],USA,Trucking,1.33B,13.49,348.61K,-2.30%,8.88%,3.4,1001 to 5000 Employees,1978,$500 million to $1 billion (USD),61,70
3184,HTLF [NASD],USA,Banks - Regional,2.04B,-1,161.50K,40.30%,300.50%,3.4,501 to 1000 Employees,1981,$50 to $100 million (USD),61,88
3189,HUBB [NYSE],USA,Electrical Equipment & Parts,9.53B,10.84,227.29K,-12.10%,11.92%,3.5,10000+ Employees,1888,$2 to $5 billion (USD),57,77
3190,HUBG [NASD],USA,Integrated Freight & Logistics,2.18B,27.86,221.45K,-31.50%,-23.76%,2.7,1001 to 5000 Employees,1971,$2 to $5 billion (USD),32,34
3191,HUBS [NYSE],USA,Software - Application,26.81B,15.39,494.91K,895.36%,43.54%,4.7,1001 to 5000 Employees,2006,$500 million to $1 billion (USD),94,99
3196,"HUM [NYSE, S&P 500]",USA,Healthcare Plans,54.87B,-1,861.98K,26.00%,13.53%,4.1,10000+ Employees,1961,$10+ billion (USD),81,91
3197,HUN [NYSE],USA,Chemicals,5.45B,-1,2.22M,-31.30%,8.06%,3.9,5001 to 10000 Employees,1970,$5 to $10 billion (USD),75,92
3198,HURC [NASD],USA,Specialty Industrial Machinery,230.86M,-1,30.41K,-136.40%,0.00%,3.2,501 to 1000 Employees,1968,$100 to $500 million (USD),70,71
3199,HURN [NASD],USA,Consulting Services,1.10B,-1,117.03K,-158.10%,17.34%,4.1,1001 to 5000 Employees,2002,$500 million to $1 billion (USD),86,94
3200,HUSA [AMEX],USA,Oil & Gas E&P,16.25M,-1,483.25K,895.36%,0.00%,4.4,1 to 50 Employees,1996,Less than $1 million (USD),100,100
3201,HUSN [NASD],USA,Capital Markets,23.23M,-1,181.51K,89.90%,0.00%,3.4,10000+ Employees,1670,$10+ billion (USD),57,68
3203,HUYA [NYSE],China,Entertainment,3.94B,-1,3.27M,83.90%,90.18%,3.8,501 to 1000 Employees,1996,$100 to $500 million (USD),56,100
3204,HVT [NYSE],USA,Home Improvement Retail,691.79M,-1,197.35K,189.80%,0.00%,3.5,1001 to 5000 Employees,1885,$500 million to $1 billion (USD),66,81
3205,HWBK [NASD],USA,Banks - Regional,138.40M,-1,17.75K,-10.90%,0.00%,1,201 to 500 Employees,1992,$50 to $100 million (USD),0,0
3206,HWC [NASD],USA,Banks - Regional,3.73B,28.59,416.89K,60.20%,300.50%,3.2,1001 to 5000 Employees,1899,$10+ billion (USD),52,81
3207,HWCC [NASD],USA,Industrial Distribution,89.09M,-1,231.27K,-594.90%,0.00%,2.5,201 to 500 Employees,1997,$100 to $500 million (USD),29,32
3208,HWKN [NASD],USA,Specialty Chemicals,663.07M,9.57,63.37K,190.00%,0.00%,3.5,501 to 1000 Employees,1938,$500 million to $1 billion (USD),55,75
3209,"HWM [NYSE, S&P 500]",USA,Specialty Industrial Machinery,14.27B,10.01,3.22M,65.70%,49.30%,3.4,10000+ Employees,1996,$100 to $500 million (USD),61,47
3216,HYLN [NYSE],USA,Auto Parts,1.99B,-1,4.87M,-207.10%,5.80%,3.9,1 to 50 Employees,2016,$100 to $500 million (USD),61,100
3220,HYMC [NASD],USA,Other Precious Metals & Mining,181.58M,-1,246.45K,-98.80%,105.40%,2.8,1 to 50 Employees,1996,$100 to $500 million (USD),27,100
3221,HYRE [NASD],USA,Rental & Leasing Services,419.59M,121.6,1.02M,3.30%,192.70%,4.1,1 to 50 Employees,1996,$100 to $500 million (USD),81,84
3229,HZNP [NASD],Ireland,Drug Manufacturers - General,21.42B,-1,1.62M,-37.60%,41.31%,3.7,501 to 1000 Employees,2008,$1 to $2 billion (USD),80,83
3230,HZO [NYSE],USA,Specialty Retail,981.53M,8.3,609.33K,114.50%,0.16%,4.2,1001 to 5000 Employees,1998,$500 million to $1 billion (USD),83,91
3232,IAA [NYSE],USA,Specialty Business Services,7.14B,-1,1.03M,0.30%,11.58%,3.9,1001 to 5000 Employees,1982,$1 to $2 billion (USD),80,95
3233,IAC [NASD],USA,Internet Content & Information,13.18B,-1,979.09K,50.21%,40.20%,3.6,5001 to 10000 Employees,1995,$2 to $5 billion (USD),79,85
3237,IAG [NYSE],Canada,Gold,1.55B,-1,4.28M,-110.10%,24.29%,2.7,1001 to 5000 Employees,1991,$1 to $2 billion (USD),35,42
3241,IART [NASD],USA,Medical Devices,5.76B,-1,356.32K,170.70%,15.04%,3.4,1001 to 5000 Employees,1989,$1 to $2 billion (USD),60,78
3245,IBA [NYSE],Mexico,Farm Products,2.26B,-1,7.87K,22.30%,49.52%,3.9,10000+ Employees,1996,$10+ billion (USD),91,94
3248,IBCP [NASD],USA,Banks - Regional,459.56M,-1,93.70K,26.20%,-25.14%,4.2,501 to 1000 Employees,1864,$100 to $500 million (USD),83,98
3267,IBIO [AMEX],USA,Biotechnology,323.09M,-1,10.33M,35.40%,0.00%,3.9,1 to 50 Employees,2008,$1 to $5 million (USD),75,100
3268,IBKR [NASD],USA,Capital Markets,26.39B,-1,976.36K,15.40%,-4.36%,3.5,1001 to 5000 Employees,1996,$1 to $2 billion (USD),63,76
3269,"IBM [NYSE, DJIA, S&P500]",USA,Information Technology Services,127.26B,-1,5.05M,-41.70%,10.54%,3.9,10000+ Employees,1911,$10+ billion (USD),78,86
3270,IBOC [NASD],USA,Banks - Regional,2.71B,15.01,195.49K,-16.10%,0.00%,2.9,1001 to 5000 Employees,1966,$500 million to $1 billion (USD),43,36
3271,IBP [NYSE],USA,Building Products & Equipment,3.23B,-1,245.71K,43.40%,18.66%,3.4,5001 to 10000 Employees,1996,$500 million to $1 billion (USD),60,80
3272,IBRX [NASD],USA,Biotechnology,5.05B,33.43,1.25M,-27.80%,25.00%,3.2,201 to 500 Employees,2014,$100 to $500 million (USD),53,0
3279,IBTX [NASD],USA,Banks - Regional,3.10B,-1,173.89K,4.70%,-1.99%,4.4,501 to 1000 Employees,1947,$1 to $2 billion (USD),90,100
3281,ICAD [NASD],USA,Health Information Services,454.70M,-1,138.01K,-7.90%,95.50%,3.4,51 to 200 Employees,1984,$25 to $50 million (USD),50,75
3283,ICCC [NASD],USA,Biotechnology,75.72M,-1,14.37K,-25.40%,0.00%,2.2,1 to 50 Employees,1996,$5 to $10 million (USD),61,0
3285,"ICE [NYSE, S&P 500]",USA,Financial Data & Stock Exchanges,62.92B,11.34,2.40M,10.00%,5.69%,3.6,1001 to 5000 Employees,2000,$5 to $10 billion (USD),66,92
3287,ICFI [NASD],USA,Consulting Services,1.73B,-1,75.21K,-19.90%,11.83%,3.5,5001 to 10000 Employees,1969,$1 to $2 billion (USD),67,85
3288,ICHR [NASD],USA,Semiconductor Equipment & Materials,1.35B,-1,319.29K,201.00%,16.37%,3.1,501 to 1000 Employees,2009,Less than $1 million (USD),52,64
3290,ICLK [NASD],Hong Kong,Advertising Agencies,1.07B,-1,547.13K,-4.60%,141.50%,2.7,201 to 500 Employees,2009,$100 to $500 million (USD),38,58
3292,ICLR [NASD],Ireland,Diagnostics & Research,11.30B,-1,599.83K,-9.40%,8.97%,3.5,1 to 50 Employees,1996,$100 to $500 million (USD),100,100
3295,ICON [NASD],USA,Apparel Manufacturing,35.55M,22.67,233.56K,94.40%,0.00%,3,51 to 200 Employees,1978,$100 to $500 million (USD),31,100
3297,ICPT [NASD],USA,Biotechnology,655.12M,6.9,1.07M,23.40%,-4.40%,3.3,501 to 1000 Employees,2002,$100 to $500 million (USD),58,59
3299,ICUI [NASD],USA,Medical Instruments & Supplies,4.35B,-1,114.09K,-14.20%,13.63%,3.7,5001 to 10000 Employees,1984,$1 to $2 billion (USD),71,80
3302,IDA [NYSE],USA,Utilities - Regulated Electric,4.97B,-1,331.37K,1.90%,2.91%,4.6,1001 to 5000 Employees,1998,$1 to $2 billion (USD),100,100
3304,IDCC [NASD],USA,Telecom Services,2.36B,20.49,380.39K,-50.60%,100.21%,3.7,201 to 500 Employees,1996,$500 million to $1 billion (USD),61,83
3313,IDN [NASD],USA,Software - Application,143.42M,-1,271.20K,119.20%,766.70%,3.7,1 to 50 Employees,1994,$1 to $5 million (USD),70,88
3316,IDRA [NASD],USA,Biotechnology,57.56M,-1,3.39M,895.36%,18.60%,4.6,1 to 50 Employees,1989,Less than $1 million (USD),93,93
3322,"IDXX [NASD, S&P 500]",USA,Diagnostics & Research,50.91B,-1,374.37K,37.30%,12.28%,3.7,5001 to 10000 Employees,1983,$1 to $2 billion (USD),65,82
3323,IDYA [NASD],USA,Biotechnology,774.18M,-1,158.03K,-58.50%,-50.90%,2.5,1 to 50 Employees,1996,$100 to $500 million (USD),26,100
3324,IEA [NASD],USA,Engineering & Construction,286.13M,77.36,632.09K,90.50%,132.47%,4,1001 to 5000 Employees,2011,$1 to $2 billion (USD),77,86
3325,IEC [NASD],USA,Electronic Components,107.73M,66.06,71.48K,39.90%,21.92%,3.1,501 to 1000 Employees,1966,$100 to $500 million (USD),39,71
3332,"IEX [NYSE, S&P 500]",USA,Specialty Industrial Machinery,16.06B,-1,389.09K,895.36%,11.19%,4.4,5001 to 10000 Employees,1988,$2 to $5 billion (USD),92,96
3335,"IFF [NYSE, S&P 500]",USA,Specialty Chemicals,36.05B,30.81,1.50M,-20.60%,11.73%,3.7,10000+ Employees,1958,$5 to $10 billion (USD),72,86
3338,IFMK [NASD],USA,Grocery Stores,51.11M,22.53,185.25K,-42.80%,0.00%,1.9,201 to 500 Employees,1996,$100 to $500 million (USD),0,100
3342,IFS [NYSE],Peru,Banks - Regional,2.93B,-1,67.58K,895.36%,20.70%,4.8,5001 to 10000 Employees,1996,$100 to $500 million (USD),100,100
3356,IGIC [NASD],Bermuda,Insurance - Diversified,447.13M,-1,163.18K,25.70%,15.79%,4,51 to 200 Employees,1996,$100 to $500 million (USD),100,100
3359,IGMS [NASD],USA,Biotechnology,2.75B,-1,190.87K,-87.00%,-21.60%,4.3,1 to 50 Employees,1996,Less than $1 million (USD),100,100
3366,IGT [NYSE],United Kingdom,Gambling,4.58B,-1,2.06M,-627.50%,62.72%,3.4,5001 to 10000 Employees,2012,$100 to $500 million (USD),47,69
3375,IHG [NYSE],United Kingdom,Lodging,12.62B,-1,75.81K,895.36%,87.96%,4,5001 to 10000 Employees,2003,$1 to $2 billion (USD),80,91
3378,IHRT [NASD],USA,Broadcasting,3.54B,-1,1.12M,-118.10%,273.50%,3.4,10000+ Employees,1972,$5 to $10 billion (USD),55,69
3379,IHT [AMEX],USA,REIT - Hotel & Motel,62.64M,-1,4.84M,5.00%,0.00%,3.5,51 to 200 Employees,1979,$10 to $25 million (USD),61,61
3384,III [NASD],USA,Information Technology Services,259.55M,-1,345.94K,-21.40%,1.61%,3.9,1001 to 5000 Employees,2006,$100 to $500 million (USD),85,85
3387,IIIN [NYSE],USA,Metal Fabrication,584.80M,-1,98.71K,238.80%,-12.27%,3.1,501 to 1000 Employees,1958,$100 to $500 million (USD),47,84
3388,IIIV [NASD],USA,Software - Infrastructure,947.12M,37.69,130.94K,90.30%,22.08%,3.6,1 to 50 Employees,1996,$5 to $10 million (USD),64,100
3390,IIN [NASD],USA,Medical Instruments & Supplies,186.86M,2266.67,48.04K,-20.30%,7.17%,3.2,501 to 1000 Employees,1930,$50 to $100 million (USD),51,100
3392,IIVI [NASD],USA,Scientific & Technical Instruments,7.07B,53,2.22M,-148.40%,8.28%,3.4,10000+ Employees,1971,$1 to $2 billion (USD),61,89
3401,IKNA [NASD],USA,Biotechnology,495.10M,-1,239.56K,895.36%,45.10%,5,1 to 50 Employees,1996,$100 to $500 million (USD),100,100
3402,IKNX [NASD],USA,Specialty Chemicals,21.17M,-1,31.48K,45.90%,0.00%,3,51 to 200 Employees,1996,$10 to $25 million (USD),37,37
3408,"ILMN [NASD, S&P 500]",USA,Diagnostics & Research,66.23B,-1,958.67K,895.36%,19.63%,4,5001 to 10000 Employees,1998,$2 to $5 billion (USD),77,94
3412,IMAC [NASD],USA,Medical Care Facilities,52.51M,297.21,507.24K,46.00%,18.60%,3.3,51 to 200 Employees,1996,$100 to $500 million (USD),47,100
3413,IMAX [NYSE],Canada,Entertainment,1.27B,-1,826.69K,-418.40%,325.00%,3.2,501 to 1000 Employees,1967,$100 to $500 million (USD),49,51
3418,IMCR [NASD],United Kingdom,Biotechnology,1.85B,-1,69.63K,28.70%,1.70%,3.2,201 to 500 Employees,2008,$100 to $500 million (USD),56,67
3419,IMGN [NASD],USA,Biotechnology,1.32B,-1,1.98M,-64.10%,-3.80%,2.8,51 to 200 Employees,1981,$25 to $50 million (USD),39,64
3421,IMKTA [NASD],USA,Grocery Stores,1.14B,-1,100.03K,68.50%,0.00%,3.2,10000+ Employees,1996,$2 to $5 billion (USD),55,70
3424,IMMR [NASD],USA,Software - Application,260.11M,-1,636.76K,129.80%,26.32%,3.7,51 to 200 Employees,1993,$50 to $100 million (USD),58,100
3426,IMO [AMEX],Canada,Oil & Gas Integrated,23.36B,-1,730.10K,-187.80%,28.35%,3.8,5001 to 10000 Employees,1880,$500 million to $1 billion (USD),69,69
3428,IMOS [NASD],Taiwan,Semiconductors,1.25B,19.03,26.10K,-8.40%,0.00%,3.9,1001 to 5000 Employees,1996,$500 million to $1 billion (USD),66,88
3435,IMTX [NASD],Germany,Biotechnology,752.60M,-1,177.84K,895.36%,-15.90%,4,51 to 200 Employees,2000,$10 to $25 million (USD),68,100
3438,IMVT [NASD],USA,Biotechnology,1.10B,-1,1.17M,20.30%,-6.60%,5,51 to 200 Employees,2018,$100 to $500 million (USD),100,100
3440,INBK [NASD],USA,Banks - Regional,295.55M,8.8,31.09K,19.10%,4.39%,4.6,201 to 500 Employees,1999,$25 to $50 million (USD),89,93
3443,"INCY [NASD, S&P 500]",USA,Biotechnology,19.57B,-1,1.22M,-166.00%,47.32%,3.8,501 to 1000 Employees,1991,$100 to $500 million (USD),81,85
3445,INDB [NASD],USA,Banks - Regional,2.51B,-1,197.02K,-30.50%,9.13%,4.2,501 to 1000 Employees,1864,$100 to $500 million (USD),83,98
3451,INFI [NASD],USA,Biotechnology,292.62M,-1,1.54M,18.10%,-3.40%,4.1,201 to 500 Employees,2001,$25 to $50 million (USD),100,100
3453,INFN [NASD],USA,Communication Equipment,2.00B,-1,1.88M,49.20%,5800.00%,3.5,1001 to 5000 Employees,2001,$1 to $2 billion (USD),60,87
3454,"INFO [NYSE, S&P 500]",United Kingdom,Consulting Services,45.20B,-1,2.23M,76.50%,11.56%,4.1,10000+ Employees,2016,$2 to $5 billion (USD),88,96
3456,INFU [AMEX],USA,Medical Instruments & Supplies,389.94M,-1,86.80K,-56.20%,58.00%,2.5,201 to 500 Employees,1996,$50 to $100 million (USD),32,100
3457,INFY [NYSE],India,Information Technology Services,81.45B,27.6,7.10M,17.00%,11.33%,3.4,10000+ Employees,1981,$10+ billion (USD),56,75
3458,ING [NYSE],Netherlands,Banks - Diversified,50.52B,81.04,5.66M,895.36%,13.32%,4,10000+ Employees,1900,$10+ billion (USD),80,88
3459,INGN [NASD],USA,Medical Devices,1.45B,30.72,146.10K,-128.20%,-39.50%,2.9,501 to 1000 Employees,2001,$100 to $500 million (USD),47,40
3460,INGR [NYSE],USA,Packaged Foods,6.06B,234.96,373.31K,-16.00%,8.16%,3.8,10000+ Employees,1906,$5 to $10 billion (USD),71,76
3465,INMD [NASD],Israel,Medical Devices,3.39B,-1,683.62K,10.90%,7.96%,4,51 to 200 Employees,1996,$100 to $500 million (USD),74,79
