,share_name_index,company_name,contry,Industry,Market_Cap,P_E,Avg_Volume,EPS_this_Y,EPS_next_Y,rating,rating_count,Headquarters,Global_Company_Size,Founded,Revenue,Recommend_to_friend,Approve_of_CEO
2787,GFF [NYSE],Griffon Corporation,USA,Tools & Accessories,1.42B,9.64,216.08K,11.60%,9.88%,4.5,,"Jericho, NY",5001 to 10000 Employees,1959,$1 to $2 billion (USD),100,100
2788,GFI [NYSE],Gold Fields Limited,South Africa,Gold,8.20B,-,6.75M,316.00%,5.03%,3.8,,"Johannesburg, South Africa",10000+ Employees,null,$10+ billion (USD),98,95
2789,GFL [NYSE],GFL Environmental Inc.,Canada,Waste Management,9.72B,-,919.58K,-,-,-1,,"Toronto, Canada",Unknown,null,Unknown / Non-Applicable,-1,-1
2790,GFX [NYSE],Golden Falcon Acquisition Corp.,USA,Shell Companies,419.97M,-,74.30K,-,-,-1,,"Newark, DE",Unknown,null,Unknown / Non-Applicable,-1,-1
2791,GGAL [NASD],Grupo Financiero Galicia S.A.,Argentina,Banks - Regional,2.09B,-,688.79K,-12.20%,-1.35%,-1,,"Buenos Aires, Argentina",1 to 50 Employees,null,$1 to $2 billion (USD),-1,-1
2792,GGB [NYSE],Gerdau S.A.,Brazil,Steel,9.31B,7.72,20.28M,96.20%,-25.13%,4,,"Porto Alegre, Brazil",10000+ Employees,1901,$10+ billion (USD),81,74
2793,GGG [NYSE],Graco Inc.,USA,Specialty Industrial Machinery,12.00B,4.02,613.45K,-4.10%,7.22%,4.1,,"Minneapolis, MN",1001 to 5000 Employees,1926,$1 to $2 billion (USD),88,91
2794,GGM [NYSE],Guggenheim Credit Allocation Fund,USA,Closed-End Fund - Debt,209.59M,10.75,92.69K,-,-,-1,-1,-1,-1,-1,-1,-1,-1
2795,GGMCU [NASD],Glenfarne Merger Corp.,USA,Shell Companies,-,6.63,253.45K,-,-,-1,-1,-1,-1,-1,-1,-1,-1
2796,GGN [NYSE],"GAMCO Global Gold, Natural Resources & Income Trust",USA,Asset Management,578.96M,33.83,941.09K,-,-,-1,-1,-1,-1,-1,-1,-1,-1
2797,GGPIU [NASD],"Gores Guggenheim, Inc.",USA,Shell Companies,-,27.1,593.74K,-,-,-1,-1,-1,-1,-1,-1,-1,-1
2798,GGT [NYSE],The Gabelli Multimedia Trust Inc.,USA,Closed-End Fund - Equity,249.36M,-,49.28K,-,-,-1,-1,-1,-1,-1,-1,-1,-1
2799,GGZ [NYSE],The Gabelli Global Small and Mid Cap Value Trust,USA,Closed-End Fund - Equity,141.00M,-,16.61K,-,-,-1,-1,-1,-1,-1,-1,-1,-1
2800,GH [NASD],"Guardant Health, Inc.",USA,Diagnostics & Research,12.11B,-,939.27K,-211.70%,17.30%,4.2,,"Redwood City, CA",501 to 1000 Employees,2013,Unknown / Non-Applicable,81,90
2801,GHACU [NASD],Gaming & Hospitality Acquisition Corp.,USA,Shell Companies,-,-,22.56K,-,-,-1,-1,-1,-1,-1,-1,-1,-1
2802,GHC [NYSE],Graham Holdings Company,USA,Education & Training Services,3.20B,-,18.99K,-5.00%,26.32%,4.1,,"Arlington, VA",1 to 50 Employees,null,$2 to $5 billion (USD),88,100
2803,GHG [NYSE],GreenTree Hospitality Group Ltd.,China,Lodging,1.25B,-,111.18K,-41.50%,17.93%,3.3,,"Shanghai, China",1001 to 5000 Employees,null,Unknown / Non-Applicable,46,-1
2804,GHL [NYSE],"Greenhill & Co., Inc.",USA,Capital Markets,284.99M,7.24,182.45K,200.20%,16.21%,4.1,,"New York, NY",201 to 500 Employees,2001,$100 to $500 million (USD),84,48
2805,GHLD [NYSE],Guild Holdings Company,USA,Mortgage Finance,932.90M,12.14,25.32K,-58.50%,-1.88%,4,,"Hawthorn, Australia",201 to 500 Employees,null,Unknown / Non-Applicable,85,50
2806,GHM [NYSE],Graham Corporation,USA,Specialty Industrial Machinery,133.69M,31.18,48.31K,25.80%,63.38%,2.9,,"Batavia, NY",201 to 500 Employees,1936,$50 to $100 million (USD),39,100
2807,GHSI [NASD],"Guardion Health Sciences, Inc.",USA,Drug Manufacturers - Specialty & Generic,41.81M,13.07,1.03M,66.40%,-,-1,,"San Diego, CA",1 to 50 Employees,null,Unknown / Non-Applicable,-1,-1
2808,GHVI [NASD],"Gores Holdings VI, Inc.",USA,Shell Companies,502.32M,25.17,795.83K,-,-,2.3,,"Beverly Hills, CA",10000+ Employees,null,$5 to $10 billion (USD),19,44
2809,GHY [NYSE],"PGIM Global High Yield Fund, Inc",USA,Closed-End Fund - Debt,638.00M,8.02,131.96K,-,-,-1,-1,-1,-1,-1,-1,-1,-1
2810,GHYB [NYSE],Goldman Sachs Access High Yield Corporate Bond ETF,USA,Exchange Traded Fund,-,-,19.33K,-,-,-1,-1,-1,-1,-1,-1,-1,-1
2811,GHYG [AMEX],iShares US & Intl High Yield Corp Bond ETF,USA,Exchange Traded Fund,-,-,21.49K,-,-,4.1,,"New York, NY",10000+ Employees,1988,$10+ billion (USD),83,96
2812,GIB [NYSE],CGI Inc.,Canada,Information Technology Services,19.87B,-,139.14K,-7.60%,8.73%,3.8,,"Montreal, Canada",10000+ Employees,1976,$10+ billion (USD),76,92
2813,GIFI [NASD],"Gulf Island Fabrication, Inc.",USA,Oil & Gas Equipment & Services,74.37M,-,64.31K,44.90%,55.90%,3.1,,"Houston, TX",1001 to 5000 Employees,1985,$100 to $500 million (USD),71,68
2814,GIGB [NYSE],Goldman Sachs Access Investment Grade Corporate Bond ETF,USA,Exchange Traded Fund,-,23.44,42.32K,-,-,-1,-1,-1,-1,-1,-1,-1,-1
2815,GIGE [NASD],SoFi Gig Economy ETF,USA,Exchange Traded Fund,-,15.18,14.64K,-,-,-1,-1,-1,-1,-1,-1,-1,-1
2816,GIGGU [NASD],"GigCapital4, Inc.",USA,Shell Companies,-,-,174.88K,-,-,-1,,"Palo Alto, CA",Unknown,null,Unknown / Non-Applicable,-1,-1
2817,GIGM [NASD],GigaMedia Limited,Taiwan,Electronic Gaming & Multimedia,31.63M,-,598.70K,22.00%,-,1,,"Taipei, Taiwan",201 to 500 Employees,null,$50 to $100 million (USD),0,-1
2818,GII [NYSE],SPDR S&P Global Infrastructure ETF,USA,Exchange Traded Fund,-,-,48.69K,-,-,-1,-1,-1,-1,-1,-1,-1,-1
2819,GIII [NASD],"G-III Apparel Group, Ltd.",USA,Apparel Retail,1.45B,-,491.06K,-83.60%,11.67%,2.7,,"New York, NY",5001 to 10000 Employees,1974,$2 to $5 billion (USD),46,50
2820,GLAD [NASD],Gladstone Capital Corporation,USA,Closed-End Fund - Debt,358.37M,35.58,203.17K,37.00%,-28.80%,3.6,,"Mc Lean, VA",51 to 200 Employees,null,$25 to $50 million (USD),100,100
2821,GLAQ [NASD],Globis Acquisition Corp.,USA,Shell Companies,150.00M,13.96,21.62K,-,-,-1,-1,-1,-1,-1,-1,-1,-1
2822,GLAQU [NASD],Globis Acquisition Corp.,USA,Shell Companies,-,-,10.63K,-,-,-1,-1,-1,-1,-1,-1,-1,-1
2823,GLBE [NASD],Global-e Online Ltd.,United Kingdom,Internet Retail,7.24B,-,1.25M,109.60%,1000.00%,3.7,,"Gurgaon, India",1001 to 5000 Employees,2006,$5 to $10 billion (USD),69,83
2824,GLBLU [NASD],Cartesian Growth Corporation,USA,Shell Companies,-,-,43.45K,-,-,-1,-1,-1,-1,-1,-1,-1,-1
2825,GLBS [NASD],Globus Maritime Limited,Greece,Marine Shipping,51.11M,-,545.16K,97.90%,-,-1,-1,-1,-1,-1,-1,-1,-1
2826,GLBZ [NASD],Glen Burnie Bancorp,USA,Banks - Regional,34.63M,-,2.98K,3.80%,-,3,,"Glen Burnie, MD",51 to 200 Employees,1949,$10 to $25 million (USD),0,-1
2827,GLD [NYSE],SPDR Gold Shares,USA,Exchange Traded Fund,-,243,8.57M,-,-,-1,-1,-1,-1,-1,-1,-1,-1
2828,GLDB [AMEX],Strategy Shares Gold-Hedged Bond ETF,USA,Exchange Traded Fund,-,-,8.57K,-,-,-1,-1,-1,-1,-1,-1,-1,-1
2829,GLDD [NASD],Great Lakes Dredge & Dock Corporation,USA,Engineering & Construction,911.71M,-,359.14K,17.20%,14.43%,3.2,,"Oak Brook, IL",1001 to 5000 Employees,1988,$500 million to $1 billion (USD),66,46
2830,GLTO [NASD],"Galecto, Inc.",Denmark,Biotechnology,182.98M,-,929.02K,19.40%,7.40%,-1,,"Copenhagen, Denmark",Unknown,null,Unknown / Non-Applicable,-1,-1
2831,GLTR [NYSE],Aberdeen Standard Physical Precious Metals Basket Shares ETF,USA,Exchange Traded Fund,-,-,54.81K,-,-,-1,-1,-1,-1,-1,-1,-1,-1
2832,GLU [NYSE],The Gabelli Global Utility & Income Trust,USA,Closed-End Fund - Equity,111.07M,-,15.54K,-,-,-1,-1,-1,-1,-1,-1,-1,-1
2833,GLV [NYSE],Clough Global Dividend and Income Fund,USA,Asset Management,87.36M,-,63.87K,-,-,-1,-1,-1,-1,-1,-1,-1,-1
2834,"GLW [NYSE, S&P 500]",Corning Incorporated,USA,Electronic Components,32.86B,83.35,4.66M,-49.80%,13.44%,3.9,,"Corning, NY",10000+ Employees,1851,$10+ billion (USD),78,82
2835,GLYC [NASD],"GlycoMimetics, Inc.",USA,Biotechnology,121.84M,-,797.82K,16.60%,-7.90%,-1,,"Rockville, MD",Unknown,null,Unknown / Non-Applicable,-1,-1
2836,"GM [NYSE, S&P 500]",General Motors Company,USA,Auto Manufacturers,85.03B,-,17.41M,-5.30%,20.37%,4,,"Detroit, MI",10000+ Employees,1908,$10+ billion (USD),80,86
2837,GMAB [NASD],Genmab A/S,Denmark,Biotechnology,28.05B,-,476.49K,440.00%,29.30%,4,,"Copenhagen, Denmark",51 to 200 Employees,null,$100 to $500 million (USD),69,100
2838,GMBL [NASD],"Esports Entertainment Group, Inc.",Malta,Gambling,223.65M,29.47,943.71K,-36.50%,90.80%,0,,"Birkirkara, Malta",1 to 50 Employees,null,Unknown / Non-Applicable,-1,-1
2839,GMBTU [NASD],Queen's Gambit Growth Capital,USA,Shell Companies,-,16.2,99.99K,-,-,-1,,"New York, NY",Unknown,null,Unknown / Non-Applicable,-1,-1
2840,GMDA [NASD],Gamida Cell Ltd.,Israel,Biotechnology,378.56M,-,315.58K,-63.00%,7.40%,-1,,"Boston, MA",51 to 200 Employees,null,Unknown / Non-Applicable,-1,-1
2841,GME [NYSE],GameStop Corp.,USA,Specialty Retail,14.50B,-,10.25M,37.80%,71.00%,2.9,,"Grapevine, TX",10000+ Employees,2000,$5 to $10 billion (USD),33,28
2842,GMED [NYSE],"Globus Medical, Inc.",USA,Medical Devices,7.23B,-,445.43K,-33.40%,16.28%,3.3,,"Audubon, PA",1001 to 5000 Employees,2003,$500 million to $1 billion (USD),47,70
2843,GMF [NYSE],SPDR S&P Emerging Asia Pacific ETF,USA,Exchange Traded Fund,-,-,26.82K,-,-,-1,-1,-1,-1,-1,-1,-1,-1
2844,GMIIU [NASD],"Gores Metropoulos II, Inc.",USA,Shell Companies,-,60.33,221.55K,-,-,-1,-1,-1,-1,-1,-1,-1,-1
2845,GMOM [AMEX],Cambria Global Momentum ETF,USA,Exchange Traded Fund,-,32.66,5.96K,-,-,-1,-1,-1,-1,-1,-1,-1,-1
2846,GMRE [NYSE],Global Medical REIT Inc.,USA,REIT - Healthcare Facilities,919.46M,-,495.73K,-266.20%,42.59%,3.5,,"Mississauga, Canada",10000+ Employees,2003,$500 million to $1 billion (USD),70,79
2847,GMS [NYSE],GMS Inc.,USA,Building Products & Equipment,1.69B,-,240.03K,-58.20%,17.32%,2.3,,"Honolulu, HI",1 to 50 Employees,null,Less than $1 million (USD),0,-1
2848,GMTX [NASD],"Gemini Therapeutics, Inc.",USA,Biotechnology,491.14M,-,257.29K,73.70%,-8.50%,2.9,,"Cambridge, MA",1 to 50 Employees,null,Unknown / Non-Applicable,63,-1
2849,GNAC [NASD],Group Nine Acquisition Corp.,USA,Shell Companies,279.23M,-,38.15K,-,-,-1,,"New York, NY",Unknown,null,Unknown / Non-Applicable,-1,-1
2850,GNOM [NASD],Global X Genomics & Biotechnology ETF,USA,Exchange Traded Fund,-,-,110.97K,-,-,-1,-1,-1,-1,-1,-1,-1,-1
2851,GNPK [NYSE],Genesis Park Acquisition Corp.,USA,Shell Companies,205.92M,-,355.76K,-,-,-1,-1,-1,-1,-1,-1,-1,-1
2852,GNPX [NASD],"Genprex, Inc.",USA,Biotechnology,163.67M,-,755.31K,24.00%,102.40%,-1,,"Austin, TX",1 to 50 Employees,null,Unknown / Non-Applicable,-1,-1
2853,GNR [NYSE],SPDR S&P Global Natural Resources ETF,USA,Exchange Traded Fund,-,-,235.53K,-,-,3.8,,"Washington, DC",10000+ Employees,1905,Unknown / Non-Applicable,72,75
2854,"GNRC [NYSE, S&P 500]",Generac Holdings Inc.,USA,Specialty Industrial Machinery,24.01B,-,888.85K,37.20%,11.28%,3.1,,"Waukesha, WI",1001 to 5000 Employees,1959,$2 to $5 billion (USD),52,73
2855,GNRS [NASD],Greenrose Acquisition Corp.,USA,Shell Companies,218.22M,67.8,146.58K,-,-,4.1,,"Santa Clara, CA",10000+ Employees,1968,$10+ billion (USD),85,96
2856,GNSS [NASD],Genasys Inc.,USA,Scientific & Technical Instruments,181.42M,-,167.23K,317.70%,191.49%,4,,"Madrid, Spain",51 to 200 Employees,null,Unknown / Non-Applicable,100,-1
2857,GNT [NYSE],"GAMCO Natural Resources, Gold & Income Trust",USA,Asset Management,111.43M,-,102.12K,-,-,-1,-1,-1,-1,-1,-1,-1,-1
2858,GNTX [NASD],Gentex Corporation,USA,Auto Parts,7.62B,54.31,1.34M,-15.10%,16.10%,3,,"Carbondale, PA",501 to 1000 Employees,1894,$100 to $500 million (USD),35,43
2859,GNTY [NASD],"Guaranty Bancshares, Inc.",USA,Banks - Regional,422.40M,34.42,26.75K,9.50%,-13.95%,3.8,,"Mount Pleasant, TX",201 to 500 Employees,1913,$50 to $100 million (USD),80,100
2860,GNUS [NASD],"Genius Brands International, Inc.",USA,Entertainment,543.45M,-,21.17M,-125.90%,-,-1,,"Beverly Hills, CA",1 to 50 Employees,null,Unknown / Non-Applicable,-1,-1
2861,GNW [NYSE],"Genworth Financial, Inc.",USA,Insurance - Life,2.00B,-,7.50M,59.20%,15.45%,3.8,,"Richmond, VA",1001 to 5000 Employees,2004,$5 to $10 billion (USD),67,64
2862,GO [NASD],Grocery Outlet Holding Corp.,USA,Grocery Stores,3.29B,2.14,946.57K,475.50%,14.58%,3.7,,"Emeryville, CA",501 to 1000 Employees,1946,$2 to $5 billion (USD),69,83
2863,GOAC [NYSE],GO Acquisition Corp.,USA,Shell Companies,705.83M,3.91,156.21K,-,-,-1,,"New York, NY",Unknown,null,Unknown / Non-Applicable,-1,-1
2864,GOAT [AMEX],VanEck Vectors Morningstar Global Wide Moat ETF,USA,Exchange Traded Fund,-,30.32,4.02K,-,-,-1,-1,-1,-1,-1,-1,-1,-1
2865,GOAU [NYSE],U.S. Global GO GOLD and Precious Metal Miners ETF,USA,Exchange Traded Fund,-,31.14,42.46K,-,-,3.9,,"Washington, DC",10000+ Employees,1775,Unknown / Non-Applicable,71,75
2866,GOCO [NASD],"GoHealth, Inc.",USA,Insurance Brokers,3.62B,-,1.37M,55.30%,62.02%,3,,"Chicago, IL",201 to 500 Employees,2001,Unknown / Non-Applicable,49,67
2867,GOED [AMEX],1847 Goedeker Inc.,USA,Internet Retail,352.68M,-,7.92M,-252.80%,-,3,,"Saint Louis, MO",51 to 200 Employees,null,Unknown / Non-Applicable,41,100
2868,GOEV [NASD],Canoo Inc.,USA,Auto Manufacturers,2.38B,-,5.77M,66.70%,-244.40%,3,,"Torrance, CA",51 to 200 Employees,null,Unknown / Non-Applicable,40,91
2869,GOEX [NYSE],Global X Gold Explorers ETF,USA,Exchange Traded Fund,-,-,8.45K,-,-,-1,-1,-1,-1,-1,-1,-1,-1
2870,GOF [NYSE],Guggenheim Strategic Opportunities Fund,USA,Closed-End Fund - Debt,1.01B,-,378.34K,-,-,-1,-1,-1,-1,-1,-1,-1,-1
2871,GOGL [NASD],Golden Ocean Group Limited,Bermuda,Marine Shipping,2.01B,-,1.04M,-471.00%,-26.03%,5,,"Suva, Fiji",201 to 500 Employees,null,Unknown / Non-Applicable,-1,-1
2872,GOGO [NASD],Gogo Inc.,USA,Telecom Services,1.32B,36.37,1.93M,45.10%,554.79%,4,,"Chicago, IL",1001 to 5000 Employees,2006,$500 million to $1 billion (USD),54,-1
2873,GOL [NYSE],Gol Linhas Aereas Inteligentes S.A.,Brazil,Airlines,1.59B,7.96,1.83M,63.10%,110.80%,4.2,,"São Paulo, Brazil",10000+ Employees,2001,$2 to $5 billion (USD),89,89
2874,GOLD [NYSE],Barrick Gold Corporation,Canada,Gold,37.66B,-,16.88M,-42.10%,6.27%,3.9,,"Toronto, Canada",10000+ Employees,1983,$5 to $10 billion (USD),83,84
2875,GOLF [NYSE],Acushnet Holdings Corp.,USA,Leisure,3.50B,23.03,291.24K,-20.00%,2.89%,3.5,,"Fairhaven, MA",5001 to 10000 Employees,1976,$1 to $2 billion (USD),58,93
2876,GOOD [NASD],Gladstone Commercial Corporation,USA,REIT - Diversified,863.33M,-,191.67K,159.70%,30.80%,-1,-1,-1,-1,-1,-1,-1,-1
2877,"GOOG [NASD, S&P 500]",Alphabet Inc.,USA,Internet Content & Information,1723.95B,37.16,1.35M,49.00%,8.70%,2.6,,"London, United Kingdom",Unknown,null,Unknown / Non-Applicable,0,-1
2878,"GOOGL [NASD, S&P 500]",Alphabet Inc.,USA,Internet Content & Information,1640.81B,14.98,1.51M,27.20%,8.78%,2.6,,"London, United Kingdom",Unknown,null,Unknown / Non-Applicable,0,-1
2879,GOOS [NYSE],Canada Goose Holdings Inc.,Canada,Apparel Manufacturing,2.26B,15.89,876.38K,-,23.10%,3.7,,"Toronto, Canada",1001 to 5000 Employees,1957,Unknown / Non-Applicable,62,72
2880,GPL [AMEX],Great Panther Mining Limited,Canada,Other Industrial Metals & Mining,243.06M,5.97,2.28M,100.30%,73.15%,-1,-1,-1,-1,-1,-1,-1,-1
2881,GPM [NYSE],Guggenheim Enhanced Equity Income Fund,USA,Closed-End Fund - Equity,399.31M,3.61,271.92K,-,-,-1,-1,-1,-1,-1,-1,-1,-1
2882,GPMT [NYSE],Granite Point Mortgage Trust Inc.,USA,REIT - Mortgage,812.87M,-,427.14K,-155.60%,6.09%,-1,-1,-1,-1,-1,-1,-1,-1
2883,"GPN [NYSE, S&P 500]",Global Payments Inc.,USA,Specialty Business Services,55.80B,-,1.40M,-10.10%,17.37%,3.5,,"Atlanta, GA",10000+ Employees,1967,$5 to $10 billion (USD),60,78
2884,GPOR [NYSE],Gulfport Energy Corporation,USA,Oil & Gas E&P,1.21B,44.83,49.13K,18.80%,109.10%,-1,-1,-1,-1,-1,-1,-1,-1
2885,GPP [NASD],Green Plains Partners LP,USA,Oil & Gas Midstream,291.17M,11.44,40.65K,-0.90%,16.58%,3,,"Omaha, NE",1001 to 5000 Employees,2004,$2 to $5 billion (USD),43,72
2886,GPRE [NASD],Green Plains Inc.,USA,Specialty Chemicals,1.44B,89.68,1.08M,1.30%,320.90%,3,,"Omaha, NE",1001 to 5000 Employees,2004,$2 to $5 billion (USD),43,72
2887,GPRK [NYSE],GeoPark Limited,Colombia,Oil & Gas E&P,840.80M,20.32,114.77K,-516.50%,11.11%,4,,"Buenos Aires, Argentina",201 to 500 Employees,null,Unknown / Non-Applicable,76,-1
2888,GPRO [NASD],"GoPro, Inc.",USA,Consumer Electronics,1.65B,-,4.04M,-343.40%,21.49%,4.1,,"San Mateo, CA",1001 to 5000 Employees,2003,$1 to $2 billion (USD),74,61
2889,"GPS [NYSE, S&P 500]","The Gap, Inc.",USA,Apparel Retail,11.45B,273.13,6.39M,-308.80%,25.06%,3.8,,"San Francisco, CA",10000+ Employees,1969,$10+ billion (USD),68,90
2890,GPX [NYSE],GP Strategies Corporation,USA,Education & Training Services,257.83M,26.92,77.04K,-54.90%,17.42%,3.2,,"Columbia, MD",1001 to 5000 Employees,1966,$500 million to $1 billion (USD),56,70
2891,GQRE [NYSE],FlexShares Global Quality Real Estate Index Fund,USA,Exchange Traded Fund,-,12.16,18.77K,-,-,4.3,,"Austin, TX",5001 to 10000 Employees,1983,$5 to $10 billion (USD),85,96
2892,GRA [NYSE],W. R. Grace & Co.,USA,Specialty Chemicals,4.54B,-,1.17M,-101.40%,18.08%,3.9,,"Columbia, MD",1001 to 5000 Employees,1854,Unknown / Non-Applicable,81,91
2893,GRAY [NASD],"Graybug Vision, Inc.",USA,Biotechnology,100.14M,-,1.84M,28.30%,14.60%,4,,"Redwood City, CA",1 to 50 Employees,null,$1 to $5 million (USD),100,-1
2894,GRBK [NASD],"Green Brick Partners, Inc.",USA,Residential Construction,1.11B,184.93,1.01M,93.20%,13.62%,4.3,,"Plano, TX",201 to 500 Employees,2008,$500 million to $1 billion (USD),76,49
2895,GRC [NYSE],The Gorman-Rupp Company,USA,Specialty Industrial Machinery,872.26M,15.38,65.98K,-29.60%,23.44%,3.9,,"Mansfield, OH",1001 to 5000 Employees,1934,$100 to $500 million (USD),84,100
2896,GRCL [NASD],Gracell Biotechnologies Inc.,China,Biotechnology,923.63M,-,123.46K,-36.70%,24.50%,-1,,"Shanghai, China",Unknown,null,Unknown / Non-Applicable,-1,-1
2897,GREK [NYSE],Global X MSCI Greece ETF,USA,Exchange Traded Fund,-,-,33.55K,-,-,-1,-1,-1,-1,-1,-1,-1,-1
2898,GRES [NYSE],IQ Global Resources ETF,USA,Exchange Traded Fund,-,9.17,4.56K,-,-,-1,-1,-1,-1,-1,-1,-1,-1
2899,GRF [NYSE],"Eagle Capital Growth Fund, Inc.",USA,Asset Management,37.08M,5.88,2.84K,-,-,-1,-1,-1,-1,-1,-1,-1,-1
2900,GRPN [NASD],"Groupon, Inc.",USA,Internet Content & Information,1.21B,-,927.29K,154.80%,235.34%,3.6,,"Chicago, IL",5001 to 10000 Employees,2008,$2 to $5 billion (USD),66,70
2901,GRSV [NASD],"Gores Holdings V, Inc.",USA,Shell Companies,672.70M,13.54,615.98K,-,-,-1,,"Beverly Hills, CA",Unknown,null,Unknown / Non-Applicable,-1,-1
2902,GRSVU [NASD],"Gores Holdings V, Inc.",USA,Shell Companies,-,-,21.43K,-,-,-1,,"Beverly Hills, CA",Unknown,null,Unknown / Non-Applicable,-1,-1
2903,GRTS [NASD],"Gritstone bio, Inc.",USA,Biotechnology,491.32M,-,734.39K,1.00%,-59.50%,-1,-1,-1,-1,-1,-1,-1,-1
2904,GRTX [NASD],"Galera Therapeutics, Inc.",USA,Biotechnology,227.52M,-,607.96K,-25.30%,7.20%,3,,"Malvern, PA",1 to 50 Employees,null,$1 to $5 million (USD),-1,-1
2905,GRU [NYSE],ELEMENTS MLCX Grains TR ETN,USA,Exchange Traded Fund,-,-,19.01K,-,-,-1,-1,-1,-1,-1,-1,-1,-1
2906,GRUB [NYSE],Just Eat Takeaway.com N.V. American Depositary Shares,USA,Internet Content & Information,1.64B,-,621.44K,-729.70%,446.70%,-1,-1,-1,-1,-1,-1,-1,-1
2907,GRVY [NASD],"Gravity Co., Ltd.",South Korea,Electronic Gaming & Multimedia,893.93M,-,38.41K,57.20%,-,3.7,,"Seoul, South Korea",201 to 500 Employees,null,$25 to $50 million (USD),0,-1
2908,GRWG [NASD],GrowGeneration Corp.,USA,Home Improvement Retail,2.33B,-,1.81M,194.30%,36.33%,2.5,,"Denver, CO",201 to 500 Employees,2014,$100 to $500 million (USD),31,26
2909,GRX [NYSE],The Gabelli Healthcare & Wellness Trust,USA,Closed-End Fund - Equity,226.54M,-,29.80K,-,-,-1,-1,-1,-1,-1,-1,-1,-1
2910,"GS [NYSE, DJIA, S&P500]","The Goldman Sachs Group, Inc.",USA,Capital Markets,117.23B,8.68,2.91M,17.70%,-19.93%,4,,"New York, NY",10000+ Employees,1869,$10+ billion (USD),76,85
2911,GSAH [NYSE],GS Acquisition Holdings Corp II,USA,Shell Companies,946.69M,9.81,1.32M,-,-,3.3,,"Middletown, NY",Unknown,null,Unknown / Non-Applicable,45,-1
2912,GSAQ [NASD],Global Synergy Acquisition Corp.,USA,Shell Companies,315.35M,-,51.77K,-,-,-1,-1,-1,-1,-1,-1,-1,-1
2913,GSAQU [NASD],Global Synergy Acquisition Corp.,USA,Shell Companies,-,-,19.15K,-,-,-1,-1,-1,-1,-1,-1,-1,-1
2914,GSAT [AMEX],"Globalstar, Inc.",USA,Telecom Services,2.26B,-,19.09M,-821.00%,-,3.6,,"Covington, LA",201 to 500 Employees,2003,$50 to $100 million (USD),75,91
2915,GSBC [NASD],"Great Southern Bancorp, Inc.",USA,Banks - Regional,719.94M,-,26.93K,-18.10%,-9.34%,3.5,,"Springfield, MO",1001 to 5000 Employees,1923,$100 to $500 million (USD),58,86
2916,GSBD [NYSE],"Goldman Sachs BDC, Inc.",USA,Credit Services,2.00B,-,440.52K,264.10%,-16.06%,-1,-1,-1,-1,-1,-1,-1,-1
2917,GSEU [NYSE],Goldman Sachs ActiveBeta Europe Equity ETF,USA,Exchange Traded Fund,-,-,1.33K,-,-,-1,-1,-1,-1,-1,-1,-1,-1
2918,GSEVU [NASD],"Gores Holdings VII, Inc.",USA,Shell Companies,-,-,116.67K,-,-,-1,-1,-1,-1,-1,-1,-1,-1
2919,GSEW [AMEX],Goldman Sachs Equal Weight U.S. Large Cap Equity ETF,USA,Exchange Traded Fund,-,-,94.67K,-,-,-1,-1,-1,-1,-1,-1,-1,-1
2920,GSG [NYSE],iShares S&P GSCI Commodity-Indexed Trust,USA,Exchange Traded Fund,-,-,1.59M,-,-,4.1,,"New York, NY",10000+ Employees,1988,$10+ billion (USD),83,96
2921,GSHD [NASD],"Goosehead Insurance, Inc",USA,Insurance - Diversified,4.23B,-,219.36K,128.00%,74.31%,3.9,,"Dallas, TX",501 to 1000 Employees,2003,$10 to $25 million (USD),70,90
2922,GSIE [NYSE],Goldman Sachs ActiveBeta International Equity ETF,USA,Exchange Traded Fund,-,246.28,333.81K,-,-,-1,-1,-1,-1,-1,-1,-1,-1
2923,GSIT [NASD],"GSI Technology, Inc.",USA,Semiconductors,134.49M,93.87,93.45K,-101.90%,-,3.5,,"Sunnyvale, CA",51 to 200 Employees,1995,$25 to $50 million (USD),49,100
2924,GSJY [NYSE],Goldman Sachs ActiveBeta Japan Equity ETF,USA,Exchange Traded Fund,-,-,1.38K,-,-,-1,-1,-1,-1,-1,-1,-1,-1
2925,GSK [NYSE],GlaxoSmithKline plc,United Kingdom,Drug Manufacturers - General,98.44B,-,4.56M,23.20%,12.89%,3.8,,"Phila, PA",10000+ Employees,1830,$10+ billion (USD),72,75
2926,GSKY [NASD],"GreenSky, Inc.",USA,Software - Infrastructure,1.05B,-,555.43K,-72.30%,180.75%,3.3,,"Brookhaven, GA",1001 to 5000 Employees,2006,Unknown / Non-Applicable,47,56
2927,GSL [NYSE],"Global Ship Lease, Inc.",United Kingdom,Marine Shipping,708.56M,-,527.46K,42.90%,38.98%,-1,,"London, United Kingdom",1 to 50 Employees,null,$100 to $500 million (USD),-1,-1
2928,GSLC [NYSE],Goldman Sachs ActiveBeta U.S. Large Cap Equity ETF,USA,Exchange Traded Fund,-,-,442.83K,-,-,-1,-1,-1,-1,-1,-1,-1,-1
2929,GSM [NASD],Ferroglobe PLC,United Kingdom,Other Industrial Metals & Mining,874.70M,-,1.65M,34.10%,-,3.7,,,1001 to 5000 Employees,null,Unknown / Non-Applicable,72,-1
2930,GSMG [NASD],Glory Star New Media Group Holdings Limited,China,Entertainment,182.60M,5.45,395.67K,372.60%,-,-1,-1,-1,-1,-1,-1,-1,-1
